Name,Type
60 purported CIA agents,Entity
first product,Entity
developing countries,Entity
London edition,Entity
Time Out,Entity
a free publication,Entity
Nokia,Entity
"over 307,000",Entity
shanty houses to professionally built dwellings,Entity
densely packed housing units,Entity
slums,Entity
developed economies,Entity
Bob Harris,Entity
United Nations,Entity
Where It's At,Entity
law enforcement,Entity
International Consumer Media Brand of the Year,Entity
iOS and Android,Entity
urbanization,Entity
infrastructure,Entity
original collective decision-making structure,Entity
his birthday money,Entity
supply of clean water,Entity
Tony Elliott,Entity
slum,Entity
impoverished people,Entity
333 cities in 59 countries,Entity
largest slum city,Entity
International Consumer Magazine of the Year award,Entity
poverty,Entity
the foundation of City Limits,Entity
slum residences,Entity
reliable sanitation services,Entity
growth of slums,Entity
Time Out Group,Entity
derogatory term,Entity
deteriorated or incomplete,Entity
19th to late 20th centuries,Entity
a London-only publication,Entity
Dave Brubeck's album Time Out,Entity
"Orangi, Karachi, Pakistan",Entity
reliable electricity,Entity
is located in,Relation
are found in,Relation
is a,Relation
consists of,Relation
used,Relation
vary from,Relation
is published by,Relation
became common in,Relation
was co-edited by,Relation
was recipient of,Relation
is,Relation
led to,Relation
caused,Relation
has mobile apps for,Relation
expanded to,Relation
defines,Relation
started as,Relation
lack,Relation
has a readership of,Relation
abandoned,Relation
became,Relation
is inhabited by,Relation
was inspired by,Relation
was first published by,Relation
published names of,Relation
includes partnerships with,Relation
was rebranded as,Relation
is associated with,Relation
was titled,Relation
