:START_ID,:END_ID,relation,concepts,synsets,:TYPE
Time Out,Time Out Group,is published by,[],[],Relation
Time Out,a London-only publication,started as,[],[],Relation
Time Out,333 cities in 59 countries,expanded to,[],[],Relation
London edition,a free publication,became,[],[],Relation
Time Out,"over 307,000",has a readership of,[],[],Relation
Time Out,Nokia,includes partnerships with,[],[],Relation
Time Out,iOS and Android,has mobile apps for,[],[],Relation
Time Out,International Consumer Magazine of the Year award,was recipient of,[],[],Relation
Time Out,International Consumer Media Brand of the Year,was rebranded as,[],[],Relation
Time Out,Tony Elliott,was first published by,[],[],Relation
Tony Elliott,his birthday money,used,[],[],Relation
Time Out,Bob Harris,was co-edited by,[],[],Relation
first product,Where It's At,was titled,[],[],Relation
Time Out,Dave Brubeck's album Time Out,was inspired by,[],[],Relation
Time Out,original collective decision-making structure,abandoned,[],[],Relation
Time Out,the foundation of City Limits,led to,[],[],Relation
Time Out,60 purported CIA agents,published names of,[],[],Relation
slum,derogatory term,is a,[],[],Relation
slum,densely packed housing units,consists of,[],[],Relation
slum,poverty,is associated with,[],[],Relation
infrastructure,deteriorated or incomplete,is,[],[],Relation
slum,impoverished people,is inhabited by,[],[],Relation
slum residences,shanty houses to professionally built dwellings,vary from,[],[],Relation
slums,reliable sanitation services,lack,[],[],Relation
slums,supply of clean water,lack,[],[],Relation
slums,reliable electricity,lack,[],[],Relation
slums,law enforcement,lack,[],[],Relation
United Nations,slums,defines,[],[],Relation
urbanization,growth of slums,caused,[],[],Relation
slums,19th to late 20th centuries,became common in,[],[],Relation
slums,developing countries,are found in,[],[],Relation
slums,developed economies,are found in,[],[],Relation
largest slum city,"Orangi, Karachi, Pakistan",is located in,[],[],Relation
